4. 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001," 31,926 ", 33.6 ," 35,209 ", 37.0 ," 14,957 ", 15.7 ," 11,375 ", 12.0 ," 1,147 ", 1.2 , 504 , 0.5 , - , - ,,,,,,," 95,117 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002," 45,357 ", 34.3 ," 48,934 ", 37.0 ," 23,734 ", 17.9 ," 11,950 ", 9.0 ," 1,729 ", 1.3 , 630 , 0.5 , - , - ,,,,,,," 132,334 ",39.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003," 49,452 ", 34.0 ," 49,769 ", 34.2 ," 28,320 ", 19.4 ," 14,517 ", 10.0 ," 1,861 ", 1.3 ," 1,705 ", 1.2 , - , - ,,,,,,," 145,623 ",10.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004," 49,456 ", 31.6 ," 51,980 ", 33.2 ," 37,000 ", 23.7 ," 14,432 ", 9.2 ," 1,652 ", 1.1 ," 1,902 ", 1.2 , - , - ,,,,,,," 156,422 ",7.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005," 54,887 ", 31.8 ," 56,800 ", 32.9 ," 42,037 ", 24.4 ," 15,368 ", 8.9 ," 1,628 ", 0.9 ," 1,906 ", 1.1 , - , - ,,,,,,," 172,626 ",10.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006," 54,190 ", 28.7 ," 52,519 ", 27.8 ," 58,758 ", 31.1 ," 17,953 ", 9.5 ," 2,381 ", 1.3 ," 3,323 ", 1.8 , - , - ,,,,,,," 189,125 ",9.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007," 53,827 ", 25.4 ," 62,370 ", 29.5 ," 68,901 ", 32.6 ," 19,587 ", 9.3 ," 2,284 ", 1.1 ," 4,605 ", 2.2 , - , - ,,,,,,," 211,572 ",11.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008," 56,291 ", 21.0 ," 89,487 ", 33.4 ," 93,644 ", 34.9 ," 17,430 ", 6.5 ," 4,880 ", 1.8 ," 6,267 ", 2.3 , - , - ,,,,,,," 267,999 ",26.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009," 50,181 ", 18.6 ," 115,675 ", 43.0 ," 74,542 ", 27.7 ," 18,949 ", 7.0 ," 4,212 ", 1.6 ," 5,558 ", 2.1 , - , - ,,,,,,," 269,118 ",0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010," 56,207 ", 17.4 ," 119,886 ", 37.2 ," 109,074 ", 33.8 ," 21,860 ", 6.8 ," 5,621 ", 1.7 ," 9,595 ", 3.0 , - , - ,,,,,,," 322,243 ",19.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011," 57,803 ", 15.7 ," 132,380 ", 36.0 ," 136,668 ", 37.2 ," 21,608 ", 5.9 ," 5,427 ", 1.5 ," 13,899 ", 3.8 , - , - ,,,,,,," 367,784 ",14.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012," 56,736 ", 13.3 ," 130,623 ", 30.7 ," 176,799 ", 41.6 ," 36,740 ", 8.6 ," 7,774 ", 1.8 ," 16,725 ", 3.9 , - , - ,,,,,,," 425,397 ",15.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013," 51,700 ", 12.3 ," 116,370 ", 27.6 ," 192,693 ", 45.8 ," 32,716 ", 7.8 ," 8,349 ", 2.0 ," 18,684 ", 4.4 , - , - , 587 , 0.1 ,,,,," 421,099 ",- 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014," 81,606 ", 18.4 ," 126,941 ", 28.6 ," 184,541 ", 41.6 ," 16,805 ", 3.8 ," 8,647 ", 1.9 ," 20,267 ", 4.6 , 2 , 0.0 ," 4,909 ", 1.1 ,,,,," 443,719 ",5.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015," 98,535 ", 23.7 ," 139,916 ", 33.6 ," 134,249 ", 32.2 ," 14,137 ", 3.4 ," 4,833 ", 1.2 ," 17,833 ", 4.3 , 14 , 0.0 ," 6,802 ", 1.6 ,,,,," 416,320 ",- 6.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016," 104,789 ", 25.1 ," 153,792 ", 36.9 ," 111,044 ", 26.6 ," 14,571 ", 3.5 ," 3,842 ", 0.9 ," 17,056 ", 4.1 , 171 , 0.0 ," 11,811 ", 2.8 ,,,,," 417,076 ",0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017," 85,723 ", 19.1 ," 180,551 ", 40.3 ," 131,286 ", 29.3 ," 9,483 ", 2.1 ," 4,494 ", 1.0 ," 20,461 ", 4.6 , 272 , 0.1 ," 14,631 ", 3.3 , 813 , 0.2 ,,," 447,712 ",7.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018," 78,910 ", 15.6 ," 188,173 ", 37.1 ," 174,366 ", 34.4 ," 11,774 ", 2.3 ," 4,887 ", 1.0 ," 25,251 ", 5.0 , 471 , 0.1 ," 20,571 ", 4.1 ," 2,624 ", 0.5 ,,," 507,027 ",13.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019," 80,941 ", 16.2 ," 187,927 ", 37.6 ," 164,803 ", 33.0 ," 9,177 ", 1.8 ," 4,181 ", 0.8 ," 24,585 ", 4.9 ," 2,293 ", 0.5 ," 22,422 ", 4.5 ," 3,388 ", 0.7 ,,," 499,718 ",- 1.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020," 90,956 ",20.9 ," 152,742 ",35.0 ," 138,963 ",31.9 ," 4,222 ",1.0 ," 3,680 ",0.8 ," 17,983 ",4.1 ," 6,048 ",1.4 ," 20,031 ",4.6 ," 1,301 ",0.3 , - ,- ," 435,925 ",- 12.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021," 84,478 ", 15.3 ," 187,187 ", 34.0 ," 198,852 ", 36.1 ," 4,483 ", 0.8 ," 5,149 ", 0.9 ," 27,448 ", 5.0 ," 2,629 ", 0.5 ," 34,982 ", 6.4 ," 5,518 ", 1.0 , 2 , - ," 550,727 ",26.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022," 87,905 ", 9.9 ," 292,070 ", 33.0 ," 381,961 ", 43.1 ," 3,755 ", 0.4 ," 10,286 ", 1.2 ," 64,510 ", 7.3 ," 3,858 ", 0.4 ," 37,575 ", 4.2 ," 3,409 ", 0.4 , 64 , - ," 885,394 ",60.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023," 94,398 ", 12.1 ," 250,335 ", 32.1 ," 328,853 ", 42.2 ," 2,210 ", 0.3 ," 9,099 ", 1.2 ," 57,799 ", 7.4 ," 3,874 ", 0.5 ," 29,408 ", 3.8 ," 3,880 ", 0.5 , 158 , - ," 780,015 ",- 11.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023.1," 6,551 ", 7.7 ," 27,208 ", 32.0 ," 41,925 ", 49.3 , 482 , 0.6 , 764 , 0.9 ," 5,484 ", 6.4 , 339 , 0.4 ," 2,329 ", 2.7 , - , - , 8 , - ," 85,090 ",20.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2," 5,660 ", 7.6 ," 23,104 ", 30.9 ," 38,626 ", 51.6 , 326 , 0.4 , 655 , 0.9 ," 4,823 ", 6.4 , 345 , 0.5 ," 1,237 ", 1.7 , - , - , 10 , - ," 74,787 ",4.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3," 7,313 ", 9.7 ," 21,827 ", 29.0 ," 37,263 ", 49.5 , 309 , 0.4 ," 1,085 ", 1.4 ," 6,327 ", 8.4 , 600 , 0.8 , 538 , 0.7 , - , - , 14 , - ," 75,277 ",6.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4," 4,778 ", 8.3 ," 18,404 ", 31.8 ," 22,837 ", 39.4 , 177 , 0.3 , 705 , 1.2 ," 4,581 ", 7.9 , 314 , 0.5 ," 6,092 ", 10.5 , - , - , 13 , - ," 57,901 ",- 12.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5," 4,757 ", 8.8 ," 18,175 ", 33.5 ," 21,061 ", 38.8 , 168 , 0.3 , 754 , 1.4 ," 4,219 ", 7.8 , 276 , 0.5 , 953 , 1.8 ," 3,880 ", 7.2 , 15 , - ," 54,259 ",0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6," 5,234 ", 9.4 ," 21,153 ", 38.1 ," 22,423 ", 40.4 , 132 , 0.2 , 629 , 1.1 ," 4,406 ", 7.9 , 264 , 0.5 ," 1,193 ", 2.2 , - , - , 16 , - ," 55,451 ",8.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7," 10,162 ", 13.3 ," 25,620 ", 33.5 ," 27,675 ", 36.2 , 156 , 0.2 , 701 , 0.9 ," 5,429 ", 7.1 , 328 , 0.4 ," 6,288 ", 8.2 , - , - , 11 , - ," 76,370 ",- 9.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8," 9,918 ", 13.4 ," 26,994 ", 36.5 ," 28,012 ", 37.9 , 163 , 0.2 , 729 , 1.0 ," 5,277 ", 7.1 , 320 , 0.4 ," 2,486 ", 3.4 , - , - , 18 , - ," 73,917 ",- 17.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9," 8,720 ", 14.9 ," 19,716 ", 33.6 ," 23,339 ", 39.8 , 96 , 0.2 , 760 , 1.3 ," 4,651 ", 7.9 , 329 , 0.6 ," 1,084 ", 1.8 , - , - , 14 , - ," 58,709 ",- 25.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10," 8,526 ", 16.4 ," 14,519 ", 28.0 ," 20,101 ", 38.8 , 64 , 0.1 , 800 , 1.5 ," 4,511 ", 8.7 , 274 , 0.5 ," 3,055 ", 5.9 , - , - , 18 , - ," 51,869 ",- 32.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11," 8,477 ", 16.8 ," 14,764 ", 29.3 ," 20,505 ", 40.7 , 47 , 0.1 , 738 , 1.5 ," 3,956 ", 7.8 , 194 , 0.4 ," 1,740 ", 3.4 , - , - , 12 , - ," 50,434 ",- 35.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12," 14,301 ", 21.7 ," 18,851 ", 28.6 ," 25,084 ", 38.0 , 88 , 0.1 , 780 , 1.2 ," 4,135 ", 6.3 , 291 , 0.4 ," 2,413 ", 3.7 , - , - , 8 , - ," 65,950 ",- 30.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-4. 시간대별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,구분,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계,[단위 : 횟수],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Hour,2 Hour,3 Hour,4 Hour,5 Hour,6 Hour,7 Hour,8 Hour,9 Hour,10 Hour,11 Hour,12 Hour,,13 Hour,14 Hour,15 Hour,16 Hour,17 Hour,18 Hour,19 Hour,20 Hour,21 Hour,22 Hour,23 Hour,24 Hour,Total,[Unit : Number of Times],,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,"3,788 ","3,545 ","3,391 ","3,266 ","3,209 ","3,237 ","3,338 ","3,489 ","3,756 ","4,075 ","4,158 ","4,184 ",2001,"3,981 ","4,126 ","4,175 ","4,142 ","4,140 ","4,142 ","4,171 ","4,203 ","4,183 ","4,164 ","4,290 ","5,965 ","95,117 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,"5,176 ","4,850 ","4,616 ","4,463 ","4,384 ","4,413 ","4,530 ","4,702 ","4,979 ","5,708 ","5,936 ","5,827 ",2002,"5,152 ","5,702 ","5,795 ","5,757 ","5,756 ","5,770 ","6,000 ","6,020 ","5,848 ","5,857 ","6,059 ","9,036 ","132,334 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,"3,772 ","3,379 ","3,165 ","2,943 ","2,889 ","2,942 ","3,119 ","3,327 ","3,689 ","7,292 ","8,513 ","7,982 ",2003,"5,494 ","7,278 ","7,935 ","7,874 ","7,872 ","7,333 ","8,014 ","8,059 ","7,538 ","7,442 ","8,127 ","9,646 ","145,623 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"4,165 ","3,817 ","3,582 ","3,428 ","3,390 ","3,438 ","3,606 ","3,831 ","4,116 ","7,668 ","8,909 ","8,397 ",2004,"5,892 ","7,662 ","8,347 ","8,284 ","8,295 ","7,757 ","8,435 ","8,471 ","7,960 ","7,849 ","8,608 ","10,513 ","156,422 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"4,629 ","4,227 ","3,991 ","3,833 ","3,782 ","3,825 ","3,997 ","4,262 ","4,620 ","8,473 ","9,825 ","9,294 ",2005,"6,587 ","8,499 ","9,235 ","9,177 ","9,182 ","8,622 ","9,338 ","9,392 ","8,783 ","8,656 ","9,496 ","10,899 ","172,626 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"5,022 ","4,459 ","4,167 ","4,020 ","4,021 ","4,146 ","4,383 ","4,664 ","5,156 ","9,323 ","10,740 ","10,184 ",2006,"7,145 ","9,247 ","10,093 ","9,975 ","9,989 ","9,405 ","10,140 ","10,268 ","9,557 ","9,379 ","10,400 ","13,241 ","189,125 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,"7,973 ","6,719 ","6,330 ","6,147 ","6,192 ","6,417 ","6,783 ","7,117 ","7,687 ","9,582 ","9,835 ","10,165 ",2007,"8,620 ","9,076 ","9,992 ","9,726 ","9,592 ","9,513 ","9,815 ","9,916 ","9,866 ","9,673 ","9,944 ","14,894 ","211,572 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"9,892 ","8,203 ","7,625 ","7,380 ","7,517 ","7,901 ","8,559 ","9,128 ","10,262 ","12,685 ","13,247 ","13,757 ",2008,"11,354 ","12,375 ","13,472 ","13,063 ","12,916 ","12,762 ","13,010 ","13,140 ","12,953 ","12,438 ","12,616 ","11,743 ","267,999 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,"10,198 ","8,500 ","8,002 ","7,805 ","8,026 ","8,441 ","9,050 ","9,462 ","10,459 ","12,671 ","13,129 ","13,550 ",2009,"11,309 ","12,208 ","13,217 ","12,857 ","12,663 ","12,528 ","12,841 ","12,846 ","12,634 ","12,295 ","12,600 ","11,825 ","269,118 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,"11,626 ","9,794 ","9,393 ","8,979 ","9,214 ","9,682 ","10,361 ","10,989 ","12,553 ","15,612 ","16,375 ","16,835 ",2010,"13,491 ","15,004 ","16,489 ","15,756 ","15,624 ","15,422 ","15,707 ","15,616 ","15,068 ","14,440 ","14,545 ","13,667 ","322,243 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"13,394 ","11,735 ","11,305 ","11,083 ","11,285 ","11,696 ","12,499 ","13,261 ","14,882 ","17,338 ","17,790 ","18,450 ",2011,"15,527 ","17,128 ","18,201 ","17,817 ","17,644 ","17,145 ","17,372 ","17,358 ","16,981 ","16,262 ","16,295 ","15,337 ","367,784 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"15,125 ","13,335 ","13,018 ","12,863 ","13,064 ","13,443 ","14,165 ","15,201 ","17,736 ","20,479 ","20,989 ","21,276 ",2012,"18,198 ","20,014 ","21,065 ","20,664 ","20,434 ","19,929 ","20,189 ","20,106 ","19,500 ","18,546 ","18,452 ","17,606 ","425,397 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"14,954 ","13,300 ","13,021 ","12,949 ","13,093 ","13,411 ","14,064 ","14,952 ","17,282 ","20,296 ","20,586 ","20,689 ",2013,"18,192 ","19,587 ","20,684 ","20,383 ","20,161 ","19,894 ","20,160 ","20,028 ","19,553 ","18,697 ","18,231 ","16,932 ","421,099 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,"16,231 ","14,776 ","14,393 ","14,164 ","14,356 ","14,726 ","15,493 ","16,425 ","18,356 ","21,006 ","21,253 ","21,342 ",2014,"18,972 ","20,227 ","21,231 ","20,968 ","20,819 ","20,560 ","20,817 ","20,712 ","20,264 ","19,520 ","19,143 ","17,965 ","443,719 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,"14,599 ","13,521 ","12,905 ","12,615 ","12,859 ","13,421 ","14,405 ","15,692 ","18,262 ","19,974 ","20,404 ","20,194 ",2015,"18,035 ","19,550 ","20,079 ","19,809 ","19,991 ","19,782 ","19,966 ","19,867 ","18,970 ","17,662 ","17,005 ","16,749 ","416,320 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,"14,841 ","13,826 ","13,338 ","13,178 ","13,411 ","13,897 ","14,843 ","15,968 ","18,261 ","19,783 ","20,170 ","19,991 ",2016,"17,899 ","19,430 ","19,930 ","19,745 ","19,915 ","19,752 ","19,802 ","19,578 ","18,675 ","17,442 ","16,745 ","16,657 ","417,076 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,"15,828 ","14,703 ","14,269 ","14,080 ","14,407 ","15,011 ","16,134 ","17,526 ","19,867 ","21,243 ","21,645 ","21,426 ",2017,"19,186 ","20,857 ","21,422 ","21,259 ","21,517 ","21,318 ","21,120 ","20,809 ","19,825 ","18,565 ","17,861 ","17,835 ","447,712 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,"17,906 ","16,864 ","16,460 ","16,297 ","16,565 ","17,202 ","18,244 ","19,741 ","22,544 ","23,982 ","24,357 ","24,054 ",2018,"21,687 ","23,488 ","24,121 ","24,042 ","24,438 ","24,256 ","23,992 ","23,505 ","22,285 ","20,900 ","20,087 ","20,010 ","507,027 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,"17,583 ","16,625 ","16,226 ","16,083 ","16,386 ","17,025 ","17,976 ","19,481 ","22,480 ","23,700 ","23,835 ","23,482 ",2019,"21,201 ","22,951 ","23,626 ","23,674 ","24,208 ","24,059 ","23,756 ","23,323 ","22,054 ","20,642 ","19,742 ","19,598 ","499,718 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,"14,897 ","14,081 ","13,734 ","13,585 ","13,840 ","14,425 ","15,200 ","16,759 ","19,798 ","20,853 ","20,838 ","20,441 ",2020,"18,455 ","20,011 ","20,739 ","20,923 ","21,613 ","21,523 ","21,199 ","20,929 ","19,809 ","18,271 ","17,125 ","16,877 ","435,925 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,"19,269 ","18,410 ","17,998 ","17,776 ","18,088 ","18,906 ","20,028 ","21,750 ","25,032 ","25,852 ","25,646 ","25,049 ",2021,"23,026 ","24,832 ","25,906 ","26,394 ","27,331 ","27,264 ","26,681 ","25,925 ","24,382 ","22,697 ","21,306 ","21,180 ","550,727 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,"31,152 ","29,137 ","27,944 ","27,503 ","28,184 ","29,828 ","31,982 ","35,268 ","40,242 ","41,420 ","40,706 ","39,406 ",2022,"36,824 ","39,250 ","41,027 ","42,291 ","44,110 ","44,556 ","44,069 ","42,913 ","40,465 ","37,580 ","35,156 ","34,381 ","885,394 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,"27,652 ","24,807 ","23,669 ","23,313 ","23,819 ","25,305 ","27,430 ","30,967 ","35,085 ","36,340 ","36,024 ","34,895 ",2023,"33,108 ","34,753 ","36,046 ","37,017 ","37,852 ","38,462 ","38,965 ","38,663 ","36,960 ","34,605 ","32,854 ","31,425 ","780,015 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023.1,"3,217 ","3,009 ","2,897 ","2,854 ","2,907 ","3,117 ","3,370 ","3,649 ","3,955 ","3,986 ","3,891 ","3,720 ",2023.1,"3,561 ","3,609 ","3,670 ","3,743 ","3,867 ","3,961 ","3,966 ","3,861 ","3,703 ","3,549 ","3,514 ","3,514 ","85,090 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2,833 ","2,630 ","2,546 ","2,518 ","2,590 ","2,770 ","2,995 ","3,274 ","3,523 ","3,512 ","3,389 ","3,210 ",2,"3,044 ","3,098 ","3,171 ","3,261 ","3,352 ","3,410 ","3,471 ","3,422 ","3,298 ","3,177 ","3,151 ","3,141 ","74,787 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"2,896 ","2,544 ","2,303 ","2,199 ","2,360 ","2,667 ","3,001 ","3,369 ","3,600 ","3,626 ","3,418 ","3,141 ",3,"2,712 ","2,858 ","2,966 ","3,115 ","3,363 ","3,587 ","3,833 ","3,861 ","3,680 ","3,484 ","3,382 ","3,313 ","75,277 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"2,272 ","2,096 ","2,010 ","1,997 ","2,040 ","2,156 ","2,301 ","2,362 ","2,463 ","2,475 ","2,433 ","2,376 ",4,"2,262 ","2,356 ","2,438 ","2,503 ","2,599 ","2,690 ","2,806 ","2,906 ","2,745 ","2,605 ","2,540 ","2,471 ","57,901 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1,953 ","1,816 ","1,777 ","1,773 ","1,786 ","1,832 ","1,902 ","2,005 ","2,239 ","2,298 ","2,364 ","2,304 ",5,"2,162 ","2,336 ","2,490 ","2,564 ","2,629 ","2,683 ","2,724 ","2,803 ","2,697 ","2,499 ","2,374 ","2,250 ","54,259 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"1,893 ","1,698 ","1,629 ","1,604 ","1,626 ","1,671 ","1,779 ","1,952 ","2,311 ","2,494 ","2,567 ","2,554 ",6,"2,434 ","2,659 ","2,764 ","2,807 ","2,852 ","2,805 ","2,817 ","2,829 ","2,757 ","2,517 ","2,292 ","2,141 ","55,451 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2,522 ","2,188 ","2,072 ","2,037 ","2,032 ","2,120 ","2,292 ","2,775 ","3,301 ","3,564 ","3,706 ","3,712 ",7,"3,641 ","3,799 ","3,887 ","3,900 ","3,884 ","3,885 ","3,846 ","3,822 ","3,700 ","3,518 ","3,254 ","2,912 ","76,370 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"2,399 ","2,017 ","1,879 ","1,821 ","1,821 ","1,913 ","2,081 ","2,662 ","3,211 ","3,493 ","3,645 ","3,670 ",8,"3,582 ","3,717 ","3,852 ","3,857 ","3,821 ","3,808 ","3,827 ","3,762 ","3,634 ","3,413 ","3,150 ","2,883 ","73,917 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"1,978 ","1,689 ","1,619 ","1,599 ","1,619 ","1,701 ","1,800 ","2,120 ","2,557 ","2,694 ","2,792 ","2,769 ",9,"2,682 ","2,843 ","2,999 ","3,072 ","3,034 ","3,029 ","3,042 ","3,022 ","2,857 ","2,634 ","2,361 ","2,196 ","58,709 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1,737 ","1,630 ","1,585 ","1,574 ","1,607 ","1,677 ","1,763 ","2,009 ","2,295 ","2,299 ","2,235 ","2,144 ",10,"2,070 ","2,230 ","2,362 ","2,492 ","2,690 ","2,779 ","2,846 ","2,798 ","2,620 ","2,326 ","2,142 ","1,958 ","51,869 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"1,638 ","1,456 ","1,410 ","1,400 ","1,453 ","1,566 ","1,733 ","2,055 ","2,467 ","2,560 ","2,420 ","2,234 ",11,"2,048 ","2,241 ","2,371 ","2,512 ","2,604 ","2,640 ","2,641 ","2,540 ","2,359 ","2,139 ","1,995 ","1,952 ","50,434 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2,315 ","2,034 ","1,941 ","1,936 ","1,979 ","2,114 ","2,412 ","2,735 ","3,163 ","3,339 ","3,163 ","3,062 ",12,"2,911 ","3,007 ","3,076 ","3,191 ","3,158 ","3,185 ","3,144 ","3,038 ","2,910 ","2,745 ","2,699 ","2,694 ","65,950 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) 시간대별 거래금액은 소수점 없이 반올림한 수치로 1시~24시의 합산값이 합계(Total)과 동일하지 않을 수 있습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
